,key,group,title,description,active,has_outrights
0,americanfootball_cfl,American Football,CFL,Canadian Football League,False,False
1,americanfootball_ncaaf,American Football,NCAAF,US College Football,True,False
2,americanfootball_nfl,American Football,NFL,US Football,True,False
3,americanfootball_nfl_preseason,American Football,NFL Preseason,US Football,False,False
4,americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2023/2024,True,True
5,americanfootball_xfl,American Football,XFL,US Football,False,False
6,aussierules_afl,Aussie Rules,AFL,Aussie Football,True,False
7,baseball_mlb,Baseball,MLB,Major League Baseball,True,False
8,baseball_mlb_preseason,Baseball,MLB Preseason,Major League Baseball,False,False
9,baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2023,True,True
10,baseball_ncaa,Baseball,NCAA Baseball,US College Baseball,True,False
11,basketball_euroleague,Basketball,Basketball Euroleague,Basketball Euroleague,False,False
12,basketball_nba,Basketball,NBA,US Basketball,True,False
13,basketball_nba_championship_winner,Basketball,NBA Championship Winner,Championship Winner 2022/2023,True,True
14,basketball_nba_preseason,Basketball,NBA Preseason,US Basketball,False,False
15,basketball_ncaab,Basketball,NCAAB,US College Basketball,False,False
16,basketball_wnba,Basketball,WNBA,US Basketball,True,False
17,cricket_asia_cup,Cricket,Asia Cup,Asia Cup,False,False
18,cricket_big_bash,Cricket,Big Bash,Big Bash League,False,False
19,cricket_caribbean_premier_league,Cricket,CPLT20,Caribbean Premier League,False,False
20,cricket_icc_world_cup,Cricket,ICC World Cup,ICC World Cup,False,False
21,cricket_international_t20,Cricket,International Twenty20,International Twenty20,False,False
22,cricket_ipl,Cricket,IPL,Indian Premier League,True,False
23,cricket_odi,Cricket,One Day Internationals,One Day Internationals,False,False
24,cricket_psl,Cricket,Pakistan Super League,Pakistan Super League,False,False
25,cricket_test_match,Cricket,Test Matches,International Test Matches,True,False
26,cricket_the_hundred,Cricket,The Hundred,The Hundred,False,False
27,golf_masters_tournament_winner,Golf,Masters Tournament Winner,2024 Winner,True,True
28,golf_pga_championship_winner,Golf,PGA Championship Winner,2023 Winner,False,True
29,golf_the_open_championship_winner,Golf,The Open Winner,2023 Winner,True,True
30,golf_us_open_winner,Golf,US Open Winner,2023 Winner,True,True
